MCC/MNC,Ext.,Name,username,password,Number,APN,Auth Mode,DNS1,DNS2
746030,,DIGICEL INTERNET,,,*99#,web,0,,
738010,,DIGICEL INTERNET,,,*99#,web,0,,
732187,,ETB LTE,,,*99#,internetmovil.etb.net.co,0,,
732142,,UNE4GLTE,,,*99#,,2,,
732130,,Avantel LTE,,,*99#,lte.avantel.com.co,0,,
732123,,Movistar INTERNET,movistar,movistar,*99#,internet.movistar.com.co,1,,
732111,,TIGO Web,,,*99#,web.colombiamovil.com.co,2,,
732103,,TIGO Web,,,*99#,web.colombiamovil.com.co,2,,
732101,,Claro,,,*99#,ba.amx,0,,
732002,,EDATEL,,,*99#,,2,,
722341,,Personal Internet Movil,internet,internet,*99#,internet.personal.com,2,,
722310,,Claro 4G,ctigprs,ctigprs999,*99#,ba.amx,2,,
714041,,Digicel Web,,,*99#,web,0,,
714040,,Digicel Web,,,*99#,web,0,,
714020,,Movistar INTERNET,movistarpa,movistarpa,*99#,internet.movistar.pa,0,,
714010,,Internet,,,*99#,apn01.cwpanama.com.pa,0,,
714010,,LIME INTERNET,,,*99#,internet,0,,
714010,,LIME PPINTERNET,,,*99#,ppinternet,0,,
710300,,Movistar INTERNET,movistarni,movistarni,*99#,internet.movistar.ni,0,,
708020,,BROADBAND TIGO HN,,,*99#,broadband.tigo.hn,0,,
708001,,Internet CLARO,,,*99#,ba.amx,0,,
706020,,Digicel Web,,,*99#,web,0,,
704030,,Movistar INTERNET,movistargt,movistargt,*99#,internet.movistar.gt,0,,
704020,,BROADBAND TIGO GT,,,*99#,broadband.tigo.gt,0,,
515039,,Sun Internet,,,*99#,minternet,1,,
515039,,Sun Broadband Standard,,,*99#,fbband,1,,
515038,,Sun Internet,,,*99#,minternet,1,,
515038,,Sun Broadband Standard,,,*99#,fbband,1,,
515037,,Sun Internet,,,*99#,minternet,1,,
515037,,Sun Broadband Standard,,,*99#,fbband,1,,
515036,,Sun Internet,,,*99#,minternet,1,,
515036,,Sun Broadband Standard,,,*99#,fbband,1,,
515035,,Sun Internet,,,*99#,minternet,1,,
515035,,Sun Broadband Standard,,,*99#,fbband,1,,
515034,,Sun Internet,,,*99#,minternet,1,,
515034,,Sun Broadband Standard,,,*99#,fbband,1,,
